title,description,startTime,endTime,maxGuestCount,eventStatus,locationID,hostID,guestCount
CS188,Scalable Internet Services,2020-10-19 08:00:00,2020-10-19 10:00:00,100,OPEN,1,1,3
Event#2,Event#2's description,2020-11-24 19:00:00,2020-11-24 20:00:00,18,OPEN,118,127,1
Event#3,Event#3's description,2020-11-24 20:00:00,2020-11-24 21:00:00,13,OPEN,192,468,1
Event#4,Event#4's description,2020-11-24 21:00:00,2020-11-24 22:00:00,9,OPEN,116,307,1
Event#5,Event#5's description,2020-11-24 22:00:00,2020-11-24 23:00:00,13,OPEN,305,331,1
Event#6,Event#6's description,2020-11-24 23:00:00,2020-11-25 00:00:00,19,OPEN,239,249,1
Event#7,Event#7's description,2020-11-25 00:00:00,2020-11-25 01:00:00,17,OPEN,17,383,1
Event#8,Event#8's description,2020-11-25 01:00:00,2020-11-25 02:00:00,14,OPEN,300,460,1
Event#9,Event#9's description,2020-11-25 02:00:00,2020-11-25 03:00:00,18,OPEN,116,146,1
Event#10,Event#10's description,2020-11-25 03:00:00,2020-11-25 04:00:00,18,OPEN,350,410,1
Event#11,Event#11's description,2020-11-25 04:00:00,2020-11-25 05:00:00,11,OPEN,64,459,1
Event#12,Event#12's description,2020-11-25 05:00:00,2020-11-25 06:00:00,19,OPEN,384,235,1
Event#13,Event#13's description,2020-11-25 06:00:00,2020-11-25 07:00:00,5,OPEN,203,134,1
Event#14,Event#14's description,2020-11-25 07:00:00,2020-11-25 08:00:00,14,OPEN,186,298,1
Event#15,Event#15's description,2020-11-25 08:00:00,2020-11-25 09:00:00,6,OPEN,132,362,1
Event#16,Event#16's description,2020-11-25 09:00:00,2020-11-25 10:00:00,15,OPEN,178,253,1
Event#17,Event#17's description,2020-11-25 10:00:00,2020-11-25 11:00:00,18,OPEN,175,90,1
Event#18,Event#18's description,2020-11-25 11:00:00,2020-11-25 12:00:00,11,OPEN,54,443,1
Event#19,Event#19's description,2020-11-25 12:00:00,2020-11-25 13:00:00,7,OPEN,367,387,1
Event#20,Event#20's description,2020-11-25 13:00:00,2020-11-25 14:00:00,8,OPEN,4,383,1
Event#21,Event#21's description,2020-11-25 14:00:00,2020-11-25 15:00:00,15,OPEN,113,234,1
